image_path,mask_path,has_solar,dataset,split,quality
data/raw\dataset1\train\z18_184413_104350_png.rf.7fc07755954e01ba7736b1a5cc559370.jpg,data/processed\masks\dataset1_train_z18_184413_104350_png.rf.7fc07755954e01ba7736b1a5cc559370.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183253_103858_png.rf.822a2b3d223c0ad8fccb8b791ed08976.jpg,data/processed\masks\dataset1_train_z18_183253_103858_png.rf.822a2b3d223c0ad8fccb8b791ed08976.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182299_y106923_png.rf.09ffc02b5ccf80e3896e3e860217b0d7.jpg,data/processed\masks\dataset1_train_z18_x182299_y106923_png.rf.09ffc02b5ccf80e3896e3e860217b0d7.png,0,dataset1,train,high
data/raw\dataset1\train\z18_184399_104571_png.rf.7ce16bd5f8020d63021c7f53021e87eb.jpg,data/processed\masks\dataset1_train_z18_184399_104571_png.rf.7ce16bd5f8020d63021c7f53021e87eb.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183504_104669_png.rf.6958d7fb16e94d1369c5769871b9a0e2.jpg,data/processed\masks\dataset1_train_z18_183504_104669_png.rf.6958d7fb16e94d1369c5769871b9a0e2.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183136_y104720_jpg.rf.efc3736fe1abae3c0492800372ef6454.jpg,data/processed\masks\dataset1_train_tile_z18_x183136_y104720_jpg.rf.efc3736fe1abae3c0492800372ef6454.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x184357_y104798_png.rf.452adc95ddfc7ba9d2e6386d652f5631.jpg,data/processed\masks\dataset1_train_z18_x184357_y104798_png.rf.452adc95ddfc7ba9d2e6386d652f5631.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183183_y104716_jpg.rf.31ad9c3e484547bdcd89b3a0e0a9044f.jpg,data/processed\masks\dataset1_train_tile_z18_x183183_y104716_jpg.rf.31ad9c3e484547bdcd89b3a0e0a9044f.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183134_y104722_jpg.rf.16b6d4e8f56346950f0a4fc40630c1fb.jpg,data/processed\masks\dataset1_train_tile_z18_x183134_y104722_jpg.rf.16b6d4e8f56346950f0a4fc40630c1fb.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182356_y107016_png.rf.3a514d0af689d9a853cf4382fe8651f0.jpg,data/processed\masks\dataset1_train_z18_x182356_y107016_png.rf.3a514d0af689d9a853cf4382fe8651f0.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182344_y106923_png.rf.f5a5e6a52b629c8e0ad0c16d01c8cd01.jpg,data/processed\masks\dataset1_train_z18_x182344_y106923_png.rf.f5a5e6a52b629c8e0ad0c16d01c8cd01.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183198_y104720_jpg.rf.77bcffc1af6c5bfbb895dcc4d84a6a92.jpg,data/processed\masks\dataset1_train_tile_z18_x183198_y104720_jpg.rf.77bcffc1af6c5bfbb895dcc4d84a6a92.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x184304_y103565_png.rf.0f3388c1d2e0b7c07c61bfc784159db2.jpg,data/processed\masks\dataset1_train_z18_x184304_y103565_png.rf.0f3388c1d2e0b7c07c61bfc784159db2.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182395_y106961_png.rf.dc9cd8be44276b57927d3723ae0f5aa8.jpg,data/processed\masks\dataset1_train_z18_x182395_y106961_png.rf.dc9cd8be44276b57927d3723ae0f5aa8.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182349_y107098_png.rf.b2f70f03e6fba69161833edae98da054.jpg,data/processed\masks\dataset1_train_z18_x182349_y107098_png.rf.b2f70f03e6fba69161833edae98da054.png,0,dataset1,train,high
data/raw\dataset1\train\z18_183511_104625_png.rf.87f10b1d5f175958c4eac065a98af8a3.jpg,data/processed\masks\dataset1_train_z18_183511_104625_png.rf.87f10b1d5f175958c4eac065a98af8a3.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183084_y104737_png.rf.647c2dd0ff08feb0e806a72637611da1.jpg,data/processed\masks\dataset1_train_z18_x183084_y104737_png.rf.647c2dd0ff08feb0e806a72637611da1.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183260_103833_png.rf.2974550e74005a89c19d34cca31bc6ff.jpg,data/processed\masks\dataset1_train_z18_183260_103833_png.rf.2974550e74005a89c19d34cca31bc6ff.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183504_104668_png.rf.9938f24d3ff4886fb40b95d485116722.jpg,data/processed\masks\dataset1_train_z18_183504_104668_png.rf.9938f24d3ff4886fb40b95d485116722.png,1,dataset1,train,high
data/raw\dataset1\train\z18_184485_104450_png.rf.9e0e194b98a76d985e73cc19448bdb0b.jpg,data/processed\masks\dataset1_train_z18_184485_104450_png.rf.9e0e194b98a76d985e73cc19448bdb0b.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183215_y104711_jpg.rf.71592fffa0daf0413ad753fe91680caf.jpg,data/processed\masks\dataset1_train_tile_z18_x183215_y104711_jpg.rf.71592fffa0daf0413ad753fe91680caf.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183209_y104707_jpg.rf.68e1cdf43133e63ba635f3246abce1e9.jpg,data/processed\masks\dataset1_train_tile_z18_x183209_y104707_jpg.rf.68e1cdf43133e63ba635f3246abce1e9.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x184306_y103569_png.rf.460febf6fd26d75045e200bb2656630f.jpg,data/processed\masks\dataset1_train_z18_x184306_y103569_png.rf.460febf6fd26d75045e200bb2656630f.png,0,dataset1,train,high
data/raw\dataset1\train\z18_184498_104413_png.rf.37e34756a30b3a9a0930a680b08df9b0.jpg,data/processed\masks\dataset1_train_z18_184498_104413_png.rf.37e34756a30b3a9a0930a680b08df9b0.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182352_y106994_png.rf.4dea41f11d78050c347bf5b60caca543.jpg,data/processed\masks\dataset1_train_z18_x182352_y106994_png.rf.4dea41f11d78050c347bf5b60caca543.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183134_y104720_jpg.rf.cdf4c74ef419eed54ec49ff2b7de771a.jpg,data/processed\masks\dataset1_train_tile_z18_x183134_y104720_jpg.rf.cdf4c74ef419eed54ec49ff2b7de771a.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183507_104667_png.rf.937b2ed296b6ea3ff3bfc755b3a7e90f.jpg,data/processed\masks\dataset1_train_z18_183507_104667_png.rf.937b2ed296b6ea3ff3bfc755b3a7e90f.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183212_y104708_jpg.rf.66a621b8f11e73bb0930e068ab488907.jpg,data/processed\masks\dataset1_train_tile_z18_x183212_y104708_jpg.rf.66a621b8f11e73bb0930e068ab488907.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183082_y104726_png.rf.8a50c19d33c8a887217bb3053f617faa.jpg,data/processed\masks\dataset1_train_z18_x183082_y104726_png.rf.8a50c19d33c8a887217bb3053f617faa.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183503_104676_png.rf.2713e37169f6c3383e252718e64ac1e1.jpg,data/processed\masks\dataset1_train_z18_183503_104676_png.rf.2713e37169f6c3383e252718e64ac1e1.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183218_y104709_jpg.rf.6f12dd8f72c7a2976bacd951e0eaa27a.jpg,data/processed\masks\dataset1_train_tile_z18_x183218_y104709_jpg.rf.6f12dd8f72c7a2976bacd951e0eaa27a.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183077_y104735_png.rf.c2986b9ea70df48bf232341e73cb3333.jpg,data/processed\masks\dataset1_train_z18_x183077_y104735_png.rf.c2986b9ea70df48bf232341e73cb3333.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x184301_y103565_png.rf.2bdcfa7182334102c183086d6780bec7.jpg,data/processed\masks\dataset1_train_z18_x184301_y103565_png.rf.2bdcfa7182334102c183086d6780bec7.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x182358_y106998_png.rf.294e256f13169049d3c93846212e0ad3.jpg,data/processed\masks\dataset1_train_z18_x182358_y106998_png.rf.294e256f13169049d3c93846212e0ad3.png,0,dataset1,train,high
data/raw\dataset1\train\z18_184398_104556_png.rf.4301cc373d6a267a8395f3b5a8465dcc.jpg,data/processed\masks\dataset1_train_z18_184398_104556_png.rf.4301cc373d6a267a8395f3b5a8465dcc.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182367_y106920_png.rf.a1ff21f842e50022b4cb6fdb3450c708.jpg,data/processed\masks\dataset1_train_z18_x182367_y106920_png.rf.a1ff21f842e50022b4cb6fdb3450c708.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183219_y104706_jpg.rf.bb69f9575309fbb7f8a2adf779ebad57.jpg,data/processed\masks\dataset1_train_tile_z18_x183219_y104706_jpg.rf.bb69f9575309fbb7f8a2adf779ebad57.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183197_y104719_jpg.rf.8a882f04c662fa9aee5201a81048e559.jpg,data/processed\masks\dataset1_train_tile_z18_x183197_y104719_jpg.rf.8a882f04c662fa9aee5201a81048e559.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x183083_y104738_png.rf.7d31a0a60a6c14c269e0d2362ee7af35.jpg,data/processed\masks\dataset1_train_z18_x183083_y104738_png.rf.7d31a0a60a6c14c269e0d2362ee7af35.png,1,dataset1,train,high
data/raw\dataset1\train\z18_184391_104565_png.rf.a6f4c383855f60a36413d1803ae49ce0.jpg,data/processed\masks\dataset1_train_z18_184391_104565_png.rf.a6f4c383855f60a36413d1803ae49ce0.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182379_y106974_png.rf.9cc6c61583fa94bf2816a80bb4afc2d7.jpg,data/processed\masks\dataset1_train_z18_x182379_y106974_png.rf.9cc6c61583fa94bf2816a80bb4afc2d7.png,0,dataset1,train,high
data/raw\dataset1\train\z18_x184315_y103560_png.rf.c2ab5e4346b05989d28cdc9abc8af834.jpg,data/processed\masks\dataset1_train_z18_x184315_y103560_png.rf.c2ab5e4346b05989d28cdc9abc8af834.png,0,dataset1,train,high
data/raw\dataset1\train\z18_183511_104630_png.rf.4cdfc3a79a7b69a9984e727f83209b2a.jpg,data/processed\masks\dataset1_train_z18_183511_104630_png.rf.4cdfc3a79a7b69a9984e727f83209b2a.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183189_y104706_jpg.rf.91796355cb0efb65316ebce5af2393ff.jpg,data/processed\masks\dataset1_train_tile_z18_x183189_y104706_jpg.rf.91796355cb0efb65316ebce5af2393ff.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183495_104643_png.rf.67bba07658e3fbc8c878158a99024672.jpg,data/processed\masks\dataset1_train_z18_183495_104643_png.rf.67bba07658e3fbc8c878158a99024672.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182325_y107003_png.rf.3c71b857dbd3c0a15b427c84eb544193.jpg,data/processed\masks\dataset1_train_z18_x182325_y107003_png.rf.3c71b857dbd3c0a15b427c84eb544193.png,0,dataset1,train,high
data/raw\dataset1\train\z18_183196_104912_png.rf.faed804dcba5b5885b46ce16b4cd4de9.jpg,data/processed\masks\dataset1_train_z18_183196_104912_png.rf.faed804dcba5b5885b46ce16b4cd4de9.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183115_y104722_jpg.rf.0d1995b6a8f72462235ab50c36a8dac7.jpg,data/processed\masks\dataset1_train_tile_z18_x183115_y104722_jpg.rf.0d1995b6a8f72462235ab50c36a8dac7.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182351_y107017_png.rf.d0627f0bf0f13dba0440dc52510f8383.jpg,data/processed\masks\dataset1_train_z18_x182351_y107017_png.rf.d0627f0bf0f13dba0440dc52510f8383.png,0,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183193_y104717_jpg.rf.d2403d4f66b62621b43b1b084299bd5f.jpg,data/processed\masks\dataset1_train_tile_z18_x183193_y104717_jpg.rf.d2403d4f66b62621b43b1b084299bd5f.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183203_y104707_jpg.rf.0e0bec7c92a1525fc65926ea26890ffb.jpg,data/processed\masks\dataset1_train_tile_z18_x183203_y104707_jpg.rf.0e0bec7c92a1525fc65926ea26890ffb.png,1,dataset1,train,high
data/raw\dataset1\train\z18_183606_104471_png.rf.d6ad6ce958e8bec8e5373e97aaed7489.jpg,data/processed\masks\dataset1_train_z18_183606_104471_png.rf.d6ad6ce958e8bec8e5373e97aaed7489.png,1,dataset1,train,high
data/raw\dataset1\train\tile_z18_x183136_y104730_jpg.rf.bc84e4814b7b5c54ef6b58794222a8da.jpg,data/processed\masks\dataset1_train_tile_z18_x183136_y104730_jpg.rf.bc84e4814b7b5c54ef6b58794222a8da.png,1,dataset1,train,high
data/raw\dataset1\train\z18_x182354_y107015_png.rf.18398229e8d319e3435bc0d3f818f3a5.jpg,data/processed\masks\dataset1_train_z18_x182354_y107015_png.rf.18398229e8d319e3435bc0d3f818f3a5.png,1,dataset1,train,high
